
NODE_1341399,NODE_1341904
NODE_1322892,NODE_1341398
NODE_1341398,NODE_1341903
NODE_1341903,NODE_1322355
NODE_1322355,NODE_1341397
NODE_1341397,NODE_1341902
NODE_1341902,NODE_1341396
NODE_1341396,NODE_1321951
NODE_1321951,NODE_1341901
NODE_1341901,NODE_1322354
NODE_1322354,NODE_1345812
NODE_1341900,NODE_1341395
NODE_1341395,NODE_1342448
NODE_1342957,NODE_1319732
NODE_1319735,NODE_1342638
NODE_1342638,NODE_1342957
NODE_1345759,NODE_1342637
NODE_1342637,NODE_1331512
NODE_1342456,NODE_1342636
NODE_1342636,NODE_1342455
NODE_1342437,NODE_1345793
NODE_1342635,NODE_1319734
NODE_1319734,NODE_1342456
NODE_1345841,NODE_9882
NODE_1347540,NODE_7028
NODE_1332277,NODE_7029
NODE_7029_1,NODE_1347168
NODE_1347168,NODE_7030
NODE_7030_1,NODE_1316580
NODE_7031_1,NODE_1347544
NODE_1347168,NODE_7031
NODE_1333199,NODE_4636
NODE_4636_1,NODE_1316998
NODE_1316582,NODE_4634
NODE_4634_1,NODE_1345349
NODE_1333710,NODE_4655
NODE_4655_1,NODE_1345350
NODE_1345350,NODE_4654
NODE_4654_1,NODE_1316584
NODE_7028_1,NODE_4653
NODE_4653_1,NODE_1345350
NODE_1332278,NODE_4652
NODE_4652_1,NODE_1345323
NODE_1345806,NODE_13568
NODE_13568_1,NODE_1336083
NODE_1330813,NODE_13567
NODE_13567_1,NODE_3989621
NODE_1345809,NODE_8646
NODE_8646_1,NODE_1338471
NODE_1346010,NODE_13308
NODE_13308_1,NODE_1337668
NODE_1346014,NODE_13183
NODE_13183_1,NODE_1346019
NODE_1346015,NODE_13401
NODE_13401_1,NODE_1320954
NODE_1338586,NODE_13400
NODE_13400_1,NODE_1346015
NODE_9866_1,NODE_1345759
NODE_1345759,NODE_9867
NODE_1322165,NODE_9865
NODE_9865_1,NODE_1345839
NODE_1322562,NODE_10056
NODE_10056_1,NODE_1345831
NODE_1322565,NODE_10055
NODE_10055_1,NODE_1345831
NODE_1345800,NODE_10054
NODE_10054_1,NODE_1322560
NODE_1345800,NODE_10053
NODE_1345830,NODE_10052
NODE_10052_1,NODE_1330975
NODE_1342055,NODE_12838
NODE_12838_1,NODE_1345830
NODE_1341912,NODE_12836
NODE_12836_1,NODE_1345828
NODE_1342607,NODE_12834
NODE_12834_1,NODE_1345801
NODE_1345801,NODE_12833
NODE_12833_1,NODE_1342437
NODE_1342599,NODE_12832
NODE_12832_1,NODE_1345801
NODE_10066_1,NODE_1345834
NODE_1341409,NODE_1319729
